,individualID,Sex,sampleAge,sampleID2,collDate,collTime,NTXnM,uMidOC_ng_ml,SpecificGravity,creatinine,DOB,Collector,Substrate,CollectComments,assayDate.x,assayDate.y,Plate_U.MidOC,assay1value,assay1cv,assay2value,assay2cv,uMidOC_SG
110,Francoise,Female,6.54,A243,2/20/2018,15:20:00,2486.7,22.541,1.018,NA,8/8/2011,Izzi,"DryLeaf,LiveLeaf,",,6/22/2021,16-Dec-19,6,22.541,5.2,NA,NA,0.36416215
112,Francoise,Female,6.7,A442,4/21/2018,8:06:00,1088.5,14.102,1.003,NA,8/8/2011,Izzi,"LiveLeaf,",,6/22/2021,16-Dec-19,6,14.102,2.2,NA,NA,0.231232663
113,Fricka,Female,5.99,A32,12/8/2017,13:25:00,736.8,8.236,1.007,NA,12/12/2011,Izzi,"DryLeaf,",Aaron 99% sure fricka ,6/20/2018,13-Dec-19,5,8.236,2.2,NA,NA,0.134510526
114,Fricka,Female,5.99,A32,12/8/2017,13:25:00,736.8,10.438,1.007,NA,12/12/2011,Izzi,"DryLeaf,",Aaron 99% sure fricka ,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.170473636
115,Fricka,Female,6.08,A69,1/9/2018,15:26:00,3111.6,66.661,1.039,3.963,12/12/2011,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,1.055177884
116,Fricka,Female,6.09,A82,1/14/2018,13:52:00,1610.8,49.007,1.021,3.198,12/12/2011,Aaron,"DryLeaf,",Almost positive; she was defecating in front of me and I saw this urine ,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.789408464
117,Fricka,Female,6.14,A157,1/30/2018,12:30:00,2951.2,63.255,1.02,4.047,12/12/2011,Izzi,"DryLeaf,Ground,",,6/20/2018,13-Dec-19,5,63.255,6.3,NA,NA,1.019915264
118,Fricka,Female,6.14,A157,1/30/2018,12:30:00,2951.2,69.151,1.02,4.047,12/12/2011,Izzi,"DryLeaf,Ground,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,1.114981589
119,Fricka,Female,6.19,A232,2/18/2018,12:00:00,2243.6,23.938,1.017,3.316,12/12/2011,Izzi,"DryLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.387111714
120,Fricka,Female,6.22,A302,3/3/2018,13:34:00,296.4,2.705,1.005,NA,12/12/2011,Izzi,"LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.044266034
121,Fricka,Female,6.22,A303,3/3/2018,14:50:00,373.6,3.221,1.005,NA,12/12/2011,Izzi,"LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.052710127
122,Fricka,Female,6.29,A336,3/27/2018,13:54:00,4662.8,49.267,1.028,4.567,12/12/2011,Izzi,"DryLeaf,",Right after Wilson displayed and beat up Baez nearby,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.788192696
123,Fricka,Female,6.29,A337,3/27/2018,14:12:00,1124,27.677,1.009,2.548,12/12/2011,Izzi,"DryLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.451125369
124,Fricka,Female,6.32,A376,4/6/2018,12:20:00,1069.6,5.576,1.007,NA,12/12/2011,Izzi,"LiveLeaf,",Alone but rejoined party right after (see Cannonball),6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.09106735
125,Fricka,Female,6.37,A474,4/26/2018,13:52:00,605.6,16.982,1.008,NA,12/12/2011,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.277075233
126,Fricka,Female,6.43,A530,5/18/2018,14:38:00,1940,49.445,1.018,2.9,12/12/2011,Izzi,"LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.798810944
127,Frida,Female,9.26,A492,5/6/2018,9:20:00,866.7,16.573,1.009,NA,2/1/2009,Aaron,"LiveLeaf,",,6/22/2021,11-Dec-19,1,16.573,7,NA,NA,0.270134073
129,Garbo,Female,62.07,A140,1/26/2018,13:45:00,172,0.922,1.01,2.767,1/1/1956,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,13-Dec-19,5,0.922,1.2,NA,NA,0.015013396
130,Garbo,Female,62.07,A140,1/26/2018,13:45:00,172,1.144,1.01,2.767,1/1/1956,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.018628336
131,Garbo,Female,62.22,A326,3/23/2018,14:43:00,NA,3.838,1.017,NA,1/1/1956,Izzi,"DryLeaf,",NA,NA,13-Dec-19,5,3.838,4.2,NA,NA,0.062065952
132,Garbo,Female,62.22,A326A,3/23/2018,14:43:00,427.4,3.856,1.017,4.292,1/1/1956,Izzi,"DryLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.062357038
133,Garbo,Female,62.37,A525,5/17/2018,12:36:00,306.4,7.446,1.006,NA,1/1/1956,Izzi,"LiveLeaf,Log,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.121729112
134,Harper,Female,65.12,O167.2,2/14/2017,14:20:00,802.8,0.885,1.017,4.214,1/1/1952,Jeremy,"V1: leaves
V2: ground leaves ","1593 ID 
",6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.014311716
135,Harper,Female,65.99,A59,12/28/2017,9:50:00,851,5.31,1.019,4.684,1/1/1952,Izzi,"LiveLeaf,DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.08570176
136,Harper,Female,66.13,A231,2/18/2018,9:10:00,243,0.99,1.004,NA,1/1/1952,Izzi,"DryLeaf,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.016217014
137,Harper,Female,66.36,A514,5/13/2018,16:40:00,616.2,4.712,1.026,4.027,1/1/1952,Izzi,"DryLeaf,",Not sure if she ever joined whole party within two hours prior ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.075531363
139,Harper,Female,66.4,A586A,5/28/2018,12:23:00,3000.8,24.386,1.025,8.703,1/1/1952,Izzi,"DryLeaf,LiveLeaf,",Vial B collected from big leaf puddle - diluted with rain,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.39127861
140,Hester,Female,14.97,398,9/23/2016,17:07:00,864,10.733,1.015,3.412,10/5/2001,Natasha,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.173909974
141,Hester,Female,15.06,O028,10/26/2016,15:30:00,913.4,8.059,1.01,NA,10/5/2001,Jeremy,"Leaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.131228808
143,Hester,Female,15.25,O119,1/3/2017,14:25:00,702.3,3.31,1.008,2.588,10/5/2001,Jeremy,"Vial 1: leaf
Vial2: ground leaves (dirty)",9671 ID ,6/23/2021,6/19/2018,NA,NA,NA,NA,NA,0.05400536
144,Hester,Female,15.25,O115,1/3/2017,9:30:00,430.8,3.629,1.005,NA,10/5/2001,Jeremy,"Leaf,",9671 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.059386853
145,Hester,Female,15.25,O116,1/3/2017,10:20:00,504.2,2.836,1.005,2.655,10/5/2001,Jeremy,"Leaf,",9671 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.046409786
146,Hester,Female,15.25,O119,1/3/2017,14:25:00,465,3.31,1.008,2.588,10/5/2001,Jeremy,"Vial 1: leaf
Vial2: ground leaves (dirty)",9671 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.05400536
147,Hester,Female,15.29,O125,1/20/2017,13:45:00,2375.2,3.216,1.015,3.412,10/5/2001,Jeremy,"Leaf,",9916 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.052109799
148,Hester,Female,15.38,O169,2/20/2017,14:00:00,1417.8,6.654,1.005,2.86,10/5/2001,Jeremy,"Leaf,","1975 ID 
Estrous II",6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.108889534
149,Hester,Female,15.4,O186,3/1/2017,10:05:00,2485.2,25.982,1.014,4.588,10/5/2001,Jeremy,"Leaf,",2657 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.421409213
150,Hester,Female,15.46,O215,3/21/2017,11:40:00,1774,18.694,1.018,4.924,10/5/2001,Jeremy,"Leaf,",3945 ID. In estrous.,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.302011766
151,Hester,Female,15.51,O252,4/9/2017,11:10:00,887,11.845,1.017,4.089,10/5/2001,Jeremy,"Ground,",6120 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.191550599
153,Jolie,Female,32.18,O204,3/9/2017,12:00:00,834.4,1.578,1.014,3.155,1/1/1985,Jeremy,"Ground,",3671 ID ,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.025594017
154,Jolie,Female,32.25,O239,4/3/2017,13:15:00,1601.3,3.436,1.024,3.93,1/1/1985,Jeremy,"Ground,",4954-58 ID,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.055185198
155,Jolie,Female,32.25,O240,4/3/2017,15:35:00,1203.5,3.133,1.024,3.807,1/1/1985,Jeremy,"Ground,",4954-58 ID,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.05031875
156,Jolie,Female,33.15,A268,2/25/2018,13:15:00,797.5,7.902,1.02,3.699,1/1/1985,Izzi,"DryLeaf,LiveLeaf,",,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.127410804
157,Jolie,Female,33.31,A471,4/26/2018,11:45:00,256.9,2.939,1.004,NA,1/1/1985,Izzi,"LiveLeaf,DryLeaf,",,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.048143236
158,Joya,Female,5.7,1139,4/26/2017,16:20:18,5173.6,32.276,1.017,3.188,8/15/2011,Rebecca,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.521949105
160,Joya,Female,6.52,A237,2/19/2018,10:47:00,1557.2,14.793,1.012,2.713,8/15/2011,Izzi,"DryLeaf,Ground,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.240405914
161,Joya,Female,6.64,A371,4/5/2018,11:40:00,1461,17.17,1.016,2.54,8/15/2011,Izzi,"DryLeaf,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.27793676
162,Joya,Female,6.67,A427,4/18/2018,14:10:00,1132,31.44,1.019,3.39,8/15/2011,Izzi,"DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.507431889
163,Joya,Female,6.75,A524,5/17/2018,11:40:00,1647,29.374,1.017,3.081,8/15/2011,Izzi,"DryLeaf,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.475019612
164,Joya,Female,6.76,A552,5/20/2018,13:47:00,3014.8,40.274,1.026,6.162,8/15/2011,Izzi,"LiveLeaf,DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.645575155
165,Joya,Female,6.79,A610,5/31/2018,15:13:00,1631.2,32.651,1.02,3.197,8/15/2011,Izzi,"DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.526460411
167,Julianne,Female,39.94,A34,12/11/2017,16:10:00,2936.3,5.021,1.027,NA,1/1/1978,Izzi,"LiveLeaf,DryLeaf,",,6/22/2021,17-Dec-19,8,5.021,1.8,NA,NA,0.080406134
168,Julianne,Female,40.23,A338,3/27/2018,15:06:00,232.6,1.668,1.013,NA,1/1/1978,Izzi,"DryLeaf,LiveLeaf,",Estrus,6/23/2021,17-Dec-19,8,1.668,2.1,NA,NA,0.027080458
169,Julianne,Female,40.4,A585,5/28/2018,12:00:00,270.8,4.234,1.016,NA,1/1/1978,Izzi,"DryLeaf,LiveLeaf,",,6/23/2021,17-Dec-19,8,4.234,0.6,NA,NA,0.06853723
170,Kaija,Female,7.25,A313,3/5/2018,12:40:00,7150.9,37.232,1.031,NA,12/5/2010,Izzi,"DryLeaf,LiveLeaf,",,6/22/2021,17-Dec-19,8,37.232,1.5,NA,NA,0.593918842
171,Kaija,Female,7.48,A592,5/30/2018,9:55:00,2436,46.15,1.018,NA,12/5/2010,Izzi,"LiveLeaf,",,6/23/2021,17-Dec-19,8,46.15,1.3,NA,NA,0.745578422
172,Khutulun,Female,15.36,O030,10/28/2016,12:45:00,955.2,4.319,1.005,NA,6/17/2001,Jeremy,"Leaf,","4650-52 ID
Charles also confirmed ",6/18/2018,6/18/2018,NA,NA,NA,NA,NA,0.070678373
173,Khutulun,Female,15.46,O077.2,12/3/2016,8:30:00,2293.9,13.832,1.015,3.545,6/17/2001,Jeremy,"Bag,",7303-19 ID,6/18/2018,6/18/2018,NA,NA,NA,NA,NA,0.224123988
174,Khutulun,Female,15.63,O150,2/2/2017,9:45:00,3331,20.155,1.017,4.873,6/17/2001,Jeremy,"Leaf,",0751 ID ,6/18/2018,6/18/2018,NA,NA,NA,NA,NA,0.32593519
175,Khutulun,Female,15.63,O153,2/3/2017,12:40:00,8167,11.408,1.025,7.053,6/17/2001,Jeremy,"Leaf,",0826 ID ,6/18/2018,6/18/2018,NA,NA,NA,NA,NA,0.183043811
176,Khutulun,Female,16.5,A40,12/17/2017,9:33:49,521,7.929,1.007,2.574,6/17/2001,Izzi,"Ground,DryLeaf,",,6/18/2018,6/18/2018,NA,NA,NA,NA,NA,0.129496595
177,Khutulun,Female,16.5,A41,12/17/2017,11:40:00,674.3,13.011,1.012,2.744,6/17/2001,Izzi,"DryLeaf,",,6/18/2018,6/18/2018,NA,NA,NA,NA,NA,0.211446046
178,Khutulun,Female,16.5,A42,12/17/2017,12:30:00,1257,21.623,1.018,3.277,6/17/2001,Izzi,"Ground,DryLeaf,LiveLeaf,",,6/18/2018,6/18/2018,NA,NA,NA,NA,NA,0.349331359
179,Khutulun,Female,16.51,A46,12/20/2017,15:45:00,1374.1,16.009,1.015,4.259,6/17/2001,Izzi,"LiveLeaf,DryLeaf,","Alone; late adolescent or young adult female; didnêt strike me as khutulun... But photo confirmed it was Khutulun - tube labeled ""Catalan""",6/18/2018,6/18/2018,NA,NA,NA,NA,NA,0.259398563
180,Khutulun,Female,16.82,A399,4/12/2018,12:34:00,1246.3,40.052,1.015,3.898,6/17/2001,Izzi,"DryLeaf,LiveLeaf,",,6/18/2018,6/18/2018,NA,NA,NA,NA,NA,0.648974404
181,Khutulun,Female,16.83,A418,4/16/2018,15:20:00,2410.6,18.036,1.033,6.165,6/17/2001,Izzi,"LiveLeaf,DryLeaf,",Unsure exactly when she arrived but seemed like right after most of party left ,6/18/2018,6/18/2018,NA,NA,NA,NA,NA,0.287150322
182,Kidman,Female,40.23,O222.2,3/26/2017,9:00:00,1535.4,7.549,1.017,4.044,1/1/1977,Jeremy,"Bag,","Still wheezing. ID confirmed by Charles. 
4322 ID ",6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.122078132
183,Kidman,Female,40.23,O223,3/26/2017,9:35:44,1341.6,7.4,1.016,4.628,1/1/1977,Jeremy,"Ground,",,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.119786373
184,Kidman,Female,40.23,O224,3/26/2017,11:20:00,1562.3,4.551,1.014,4.029,1/1/1977,Jeremy,"Leaf,",,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.073813922
185,Kidman,Female,40.23,O225,3/26/2017,11:50:00,1297.5,6.086,1.018,4.569,1/1/1977,Jeremy,"Leaf,",,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.09832265
186,Kidman,Female,40.23,O226,3/26/2017,13:10:00,3108.3,6.515,1.021,6.12,1/1/1977,Jeremy,"Bag, ",,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.104944113
187,Kidman,Female,41.16,A281,2/28/2018,10:10:00,381.7,1.068,1.008,2.509,1/1/1977,Izzi,"LiveLeaf,",~2 hours after infanticide,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.017425294
188,Kozena,Female,4.29,170,6/27/2016,11:50:00,3435.6,34.726,1.021,3.617,3/12/2012,David,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.559369036
189,Kozena,Female,4.44,255,8/18/2016,9:44:00,3544.2,35.091,1.022,4.555,3/12/2012,Jacob,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.564695403
190,Kozena,Female,4.46,287,8/26/2016,14:26:00,3208.6,18.146,1.028,3.761,3/12/2012,Natasha,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.290306791
191,Kozena,Female,4.97,909,3/2/2017,10:45:00,2035,32.9,1.013,2.926,3/12/2012,Rebecca,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.534140927
192,Kozena,Female,4.98,O196,3/5/2017,11:35:50,1956,12.012,1.013,2.639,3/12/2012,Jeremy,"Leaf,Ground,",3357 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.195018262
196,Leonora,Female,41.23,A334,3/27/2018,12:30:10,194.9,0.753,1.015,NA,1/1/1977,Izzi,"DryLeaf,LiveLeaf,",Estrus,6/23/2021,11-Dec-19,1,1.695,79.2,0.753,1.9,0.012201082
200,Miliah,Female,12.11,O018,10/13/2016,15:30:00,3091.4,19.996,1.02,3.824,9/1/2004,Jeremy,"Leaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.322412863
201,Miliah,Female,12.19,O049,11/11/2016,10:20:00,5713.6,21.149,1.01,3.076,9/1/2004,Jeremy,"Leaf,","5620 ID
5630-31",6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.344379956
202,Miliah,Female,12.26,O085,12/5/2016,15:45:00,1942.2,7.603,1.009,2.72,9/1/2004,Jeremy,"Leaf,",7586-88 ID ,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.123926227
203,Miliah,Female,12.27,O086,12/7/2016,10:15:00,12570,33.139,1.024,8.987,9/1/2004,Jeremy,"Leaf,",7671-74 ID,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.532241636
204,Miliah,Female,12.4,O131,1/24/2017,11:35:13,4601.4,21.664,1.016,4.17,9/1/2004,Jeremy,"Leaf,",0144 ID ,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.3506827
205,Miliah,Female,12.65,1147,4/27/2017,16:00:06,538,5.387,1.005,NA,9/1/2004,Rebecca,,,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.088155683
206,Miliah,Female,12.72,1211,5/21/2017,16:12:25,2150.4,34.434,1.016,3.972,9/1/2004,Rebecca,,,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.55739513
207,Miliah,Female,13.39,A129,1/23/2018,15:05:00,2703.2,21.872,1.02,5.26,9/1/2004,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.352661239
208,Miliah,Female,13.71,A521,5/17/2018,9:50:14,468.8,7.75,1.005,NA,9/1/2004,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.12682505
209,Naidu,Female,6.1,1087,4/13/2017,11:28:00,1641.5,4.848,1.005,NA,3/9/2011,Rebecca,,,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.079335206
210,Naidu,Female,6.18,1191,5/13/2017,15:25:09,2949.5,32.072,1.013,2.71,3/9/2011,Rebecca,,,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.52069811
211,Naidu,Female,6.18,1193,5/13/2017,16:48:43,2501,29.841,1.016,3.289,3/9/2011,Rebecca,,,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.483046643
213,Naidu,Female,6.98,A296,3/2/2018,14:43:00,500.8,1.04,1.003,NA,3/9/2011,Izzi,"LiveLeaf,",,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.01705304
214,Naidu,Female,7.2,A541,5/19/2018,13:35:00,2361.7,19.841,1.018,3.11,3/9/2011,Izzi,"DryLeaf,LiveLeaf,",,6/14/2018,6/14/2018,NA,NA,NA,NA,NA,0.320542177
215,Nina,Female,4.9,A328,3/24/2018,15:55:00,782.2,1.818,1.005,NA,5/1/2013,Izzi,"DryLeaf,LiveLeaf,",,6/22/2021,16-Dec-19,6,2.531,24.9,1.818,7.3,0.029750702
216,Nina,Female,4.97,A437,4/20/2018,10:45:00,1365.6,18.737,1.011,NA,5/1/2013,Izzi,"LiveLeaf,DryLeaf,",,6/22/2021,16-Dec-19,6,18.737,0.8,NA,NA,0.304802345
217,Nina,Female,4.98,A456,4/23/2018,11:15:00,2583.9,44.018,1.019,NA,5/1/2013,Izzi,"LiveLeaf,",,6/22/2021,16-Dec-19,6,44.018,3.3,NA,NA,0.710436924
219,Renata,Female,12.43,233,8/4/2016,12:45:00,9137.5,30.997,1.029,5.568,3/1/2004,David,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.495420179
220,Renata,Female,12.79,O097,12/16/2016,16:20:00,3682.6,31.248,1.017,4.098,3/1/2004,Jeremy,"Leaf,",8380-84 ID. In estrous ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.505324874
221,Renata,Female,12.91,O137,1/28/2017,9:00:00,1295.2,1.91,1.005,NA,3/1/2004,Jeremy,"Bag,","Dark face, prominent brow. Looks like Renata 
0356 ID ",6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.031256238
222,Renata,Female,12.91,O138,1/28/2017,10:00:00,1437.8,4.844,1.008,NA,3/1/2004,Jeremy,"Leaf,",0356 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.079033826
223,Renata,Female,12.92,O141,1/30/2017,10:50:00,3181.6,21.151,1.018,4.085,3/1/2004,Jeremy,"Leaf,",0483 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.341705942
224,Renata,Female,12.98,O173,2/23/2017,16:10:00,7942.5,31.219,1.027,5.843,3/1/2004,Jeremy,"V1: leaf
V2: ground leaves",2314 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.499940071
225,Renata,Female,13.05,955,3/20/2017,14:45:00,4855,27.617,1.023,4.679,3/1/2004,RD,L,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.443987016
226,Renata,Female,13.07,O221,3/25/2017,16:45:39,4149.6,20.254,1.037,5.016,3/1/2004,Jeremy,"Leaf,","No ID pic and determined it was Renata. Only other possibility was Tori, but she was away with mother. In estrous",6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.321219168
227,Renata,Female,14.06,A322,3/23/2018,10:45:00,3481.2,32.066,1.034,7.394,3/1/2004,Izzi,"LiveLeaf,DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.51002757
228,Rosalind,Female,4.22,A259,2/22/2018,12:27:00,1615.8,16.033,1.016,NA,12/4/2013,Izzi,"DryLeaf,Ground,LiveLeaf,", Vial1 not collected from ground,6/22/2021,17-Dec-19,8,16.033,1,NA,NA,0.259531746
